                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2022


NAME: Lea Hill, Auburn, WA                  
ELEV: 416 feet    LAT: 47-19.27 N    LONG: 122-11.06 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   46.5   56.5  14:53   37.8  07:23   18.5    0.0   0.04    0.6   11.4  13:22    167
 02   47.4   57.0  15:23   41.4  06:47   17.6    0.0   0.00    1.0    9.2  13:22    172
 03   47.2   54.0  14:40   42.1  06:16   17.8    0.0   0.12    1.1   15.9  15:49    164
 04   43.4   49.5  14:02   37.8  23:19   21.6    0.0   1.15    2.3   21.7  15:24    171
 05   44.3   55.6  15:37   37.0  01:22   20.7    0.0   0.00    1.7   15.9  05:12    179
 06   46.3   60.8  17:17   30.6  06:48   18.7    0.0   0.00    0.7   10.3  13:23    208
 07   57.7   77.9  14:57   39.7  05:13    7.3    0.0   0.00    0.4    9.2  16:10    207
 08   47.8   59.9  00:00   41.4  23:59   17.2    0.0   0.22    1.2   19.5  14:47    175
 09   41.6   51.4  12:12   35.4  23:25   23.4    0.0   0.23    0.9   13.6  13:29    158
 10   38.8   47.3  15:08   34.9  21:31   26.2    0.0   0.21    0.8   10.3  04:58    164
 11   41.4   50.9  13:56   35.1  00:00   23.6    0.0   0.01    1.3   14.8  05:12     53
 12   39.6   48.4  14:17   32.9  23:38   25.4    0.0   0.00    0.9   13.6  15:25    157
 13   36.2   46.6  15:05   29.8  06:10   28.8    0.0   0.00    0.4    8.1  14:29    103
 14   38.1   49.8  14:59   30.4  00:40   26.9    0.0   0.05    0.6    9.2  12:43    228
 15   41.5   53.1  15:36   34.3  04:50   23.5    0.0   0.00    0.4    6.9  12:29    182
 16   39.0   48.6  12:28   31.8  03:21   26.0    0.0   0.02    0.5    9.2  12:08    150
 17   47.2   59.7  15:55   33.8  06:38   17.8    0.0   0.00    0.6    8.1  12:09    137
 18   46.8   51.4  10:40   40.8  22:40   18.2    0.0   0.23    0.6   12.5  18:25    139
 19   45.1   55.6  17:22   39.0  04:56   19.9    0.0   0.27    0.3    5.8  00:41    183
 20   44.9   53.6  18:08   34.0  05:51   20.1    0.0   0.05    0.3   10.3  19:22    150
 21   46.5   57.2  14:34   40.3  00:16   18.5    0.0   0.26    0.5   11.4  11:16    170
 22   48.1   60.4  16:27   37.6  04:37   16.9    0.0   0.02    0.5    8.1  15:51    328
 23   51.0   61.5  17:50   43.0  07:03   14.0    0.0   0.00    0.5    8.1  14:53    183
 24   53.1   68.9  15:48   36.3  05:48   11.9    0.0   0.00    0.6    9.2  13:40    162
 25   48.6   55.0  14:18   43.5  23:57   16.4    0.0   0.30    0.3    6.9  16:10    150
 26   44.8   52.3  16:09   40.1  23:17   20.2    0.0   0.30    0.5   12.5  14:35    166
 27   45.9   57.2  16:34   37.4  04:57   19.1    0.0   0.00    0.4   10.3  11:28    172
 28   47.7   58.8  16:58   37.9  04:16   17.3    0.0   0.00    0.5    8.1  15:40    161
 29   51.5   61.2  15:28   43.5  06:09   13.5    0.0   0.10    0.4    6.9  15:08    182
 30   52.0   61.9  17:34   46.6  06:32   13.0    0.0   0.45    0.5   10.3  14:21    162
---------------------------------------------------------------------------------------
      45.7   77.9     07   29.8     13  579.9    0.0   4.03    0.7   21.7     04    165
    
